Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
MIDI GAGNÉS,Henri Matisse,1948.  (Reproduced drawings executed 1935-1938).,"1 lithograph (frontispiece), printed in black on light gray, smooth China paper mounted on ivory, smooth, wove Japan paper; 8 line block reproductions after pen and ink drawings","irreg. composition  7 7/8 x 5 3/8"" (20 x 13.6 cm)
International Festival of the Arts",(0) (0),1968,Lithograph,"18 7/16 x 18 7/16"" (46.8 x 46.8 cm)",Gift of the XIX Olympics Committee,356.2014.10,Design,Architecture & Design,2014-05-19,Y
"Untitled, no. 3 of 8, from the illustrated book, Homely Girl, A Life, volume II",Louise Bourgeois,1992,Photolithograph,"overlay: 5 3/4 × 16 15/16"" (14.6 × 43 cm); page (each): 11 1/2 × 8 3/4"" (29.2 × 22.2 cm)",http://www.moma.org/collection/works/10127,,,,14.6,,,43.0,,
Fluxus 1 from Fluxshop,Various Artists,,"Book with offset, metal bolts, and stamped ink, containing objects in various media, in wood box","overall: 9 1/2 x 8 7/8 x 1 3/4"" (24.2 x 22.5 x 4.5 cm)",,,4.5,,24.2,,,22.5,,
Steer (Stier),Franz Marc,(1912),"Woodcut
Naval Academy Competition", Valparaiso,(Male),Ink on paper,"15 3/4 x 77 5/8"" (40 x 197.2 cm)",Gift of the architect,55.2015.5,Architecture,Architecture & Design,2015-03-02,Y,177330
"House for Stanley Marcus Project, Dallas, Texas",Frank Lloyd Wright,1935,Drawing,7 5/8 x 32 7/8,,,,,,,,,,
"Prints:  various dimensions.""",Given anonymously,,,,
"Article on Kinmont and the Antinomian Press, from Art Metropole’s Retail Catalogue 2012",Ben Kinmont,2012,"stapled in the upper left corner, photocopy",,,,,,,,,,,
The Nutty Professor storyboards,"John Jensen, Jerry Lewis",,,"11 × 8 1/2"" (27.9 × 21.6 cm)",,,0.0,,27.9400558801,,,21.5900431801,,
"Plate (folio 7 verso) from Parole in libertà futuriste, tattili-termiche olfattive (Words in Futurist, Olfactory, Tactile, Thermal Freedom)",Tullio d'Albisola (Tullio Spartaco Mazzotti),1932,Lithograph from a book with 26 lithographs (one with offset lithograph) and typographic designs,"composition  8 15/16 x 8 3/8"" (22.8 x 21.3 cm)",,,,,22.8,,,21.3,,
Untitled from Study for Twenty-two Constructions from 1967,Fred Sandback,c. 1986,"One from a series of twenty-two drawings, pencil on paper","sheet: 8 1/2 x 11"" (21.6 x 27.9 cm)",,,,,21.6,,,27.9,,
Untitled,Neil Farber,2003,"Ink and gouache on paper
Intihuatana"," Machu Picchu""",1971,"8 × 10 3/4"" (20.3 × 27.3 cm)",John Parkinson III Fund,210.1979,Photograph,Photography,1979-05-10,Y,48569,http://www.moma.org/collection/works/48569
Aerial View of 33rd Street,Yvonne Jacquette,1981,Lithograph,"Composition: 49 15/16 x 30 7/8"" (126.9 x 78.5 cm)
Untitled (Drawn Over On…),Lawrence Weiner,6288,(American","8 1/2 x 6 7/8"" (21.6 x 17.5 cm)",563.2007,Drawing,Drawings & Prints,2007-10-09,Y,109670,http://www.moma.org/collection/works/109670,http://www.moma.org/media/W1siZiIsIjE2ODY4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dda61b5c47188b7f,
",14 1/2 x 18 1/2"""" (36.8 x 47 cm)""",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,http://www.moma.org/collection/works/95948,http://www.moma.org/media/W1siZiIsIjExNTc0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6674bf11a838a53,,
Hong Kong,Lee Friedlander,1987,Gelatin silver print,"12 5/16 × 18 5/8"" (31.3 × 47.3 cm)",,,,,31.3,,,47.3,,
Mechanical for Water Music,"George Maciunas, Mieko Shiomi",1964,"Cut-and-pasted gelatin silver print on paper with presstype, pencil, ballpoint pen, ink, and correction fluid","sheet (irreg.): 6 1/2 × 9 13/16"" (16.5 × 25 cm)",http://www.moma.org/collection/works/127560,,,,16.5,,,25.0,,
",14 x 16 1/2"""" (35.6 x 41.9 cm)""",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,http://www.moma.org/collection/works/95915,http://www.moma.org/media/W1siZiIsIjE0ODMyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55a08222089d14ee,,
Man in Solferino Shirt: Front View from the Blue Jean Series,George Segal,1975,Etching and aquatint,"plate  29 3/8 x 20 1/8"" (74.6 x 51.1 cm)
The Wall,Gordon Matta-Clark,6636,(American",15:04 min.,263.2008,Video,Media and Performance,2008-03-12,Y,117943,http://www.moma.org/collection/works/117943,http://www.moma.org/media/W1siZiIsIjEzNjA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3925cd8a9f47877c,
Invest,Unknown Artist,1914-18,Poster,,,,,,,,,,,
Untitled from Galisteo Paintings,Richard Tuttle,1993,One from a portfolio of seven woodcuts with acrylic additions,"composition: 10 1/4 x 14 1/4"" (26.1 x 36.2 cm); sheet: 12 x 16"" (30.5 x 40.6 cm)",http://www.moma.org/collection/works/154500,,,,26.1,,,36.2,,
"sheet  35 5/8 x 25 3/8"""" (90.5 x 64.5 cm)""","Gift of the artist and Brooke Alexander, Inc.",,,,
Untitled,Hugh Townley,(May 12-16) 1969,"Lithograph, printed in color","composition  12 1/8 x 9 15/16"" (30.8 x 25.3 cm)
Airwaves,Various Artists,24409,"",(),(0),(0),(),1977,Two 12-inch vinyl records,cover: 12 3/8 × 12 3/8"""" (31.4 × 31.4 cm)""",http://www.moma.org/collection/works/184302,,0.0,,31.4325628651,,,31.4325628651,,
Armchair (P40),Osvaldo Borsani,1955,"Wool, polyurethane foam, and steel","min: 24 1/8 x 26 3/8 x 28 1/4"" (61.3 x 67 x 71.8 cm)
(e): 11 1/8 x 11 3/4"" (28.3 x 29.8 cm)
Headpiece (page 169) from The Fables of Aesop,Thomas Bewick,542,(British","composition: 2 5/16 × 3 1/8"" (5.8 × 8 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",680.1964.157,Illustrated Book,Drawings & Prints,1964-10-06,Y,21001,http://www.moma.org/collection/works/21001,http://www.moma.org/media/W1siZiIsIjE4MDE4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8037bde8a8909f06,
Untitled,Boris Mikhailov,1985-86,Gelatin silver print,"9 7/16 × 13 9/16"" (24 × 34.5 cm)",http://www.moma.org/collection/works/82824,,,,24.0,,,34.5,,
Untitled (Holiday Laurel),Louise Bourgeois,2004,Drypoint,"plate: 10 1/16 x 7 5/8"" (25.5 x 19.3 cm); sheet: 12 3/8 x 9 5/8"" (31.4 x 24.5 cm)",http://www.moma.org/collection/works/150598,,,,25.5,,,19.3,,
Untitled,Louise Bourgeois,1946,Pencil on notebook paper,"11 x 8 1/2"" (28 x 21.6 cm)",http://www.moma.org/collection/works/35053,,,,27.9,,,21.6,,
The Effects of Overcooking and Keeping Hot,"Jan Lewitt, George Him",c.1944,Lithograph,"29 3/8 x 19 1/2"" (74.6 x 49.5 cm)",http://www.moma.org/collection/works/5022,,,,74.6,,,49.5,,
Plate (folio 86) from 'Capital' in Pictures,Hugo Gellert,1933,Lithograph from an illustrated book with sixty-two lithographs,"composition (irreg.): 14 3/8 × 12 15/16"" (36.5 × 32.8 cm); page (irreg.): 22 9/16 × 15 1/8"" (57.3 × 38.4 cm)",http://www.moma.org/collection/works/12308,,,,36.5,,,32.8,,
Plate (page 172) from LA BELLE ENFANT,Raoul Dufy,1930,,"irreg. composition  9 5/16 x 6 1/8"" (23.6 x 15.6 cm)",,,,,23.6,,,15.6,,
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh (To Catch up with and Surpass the Leading Capitalist Countries in Technical and Economic Affairs in 10 Years. 70 Pictorial Diagrams on Postcards),Unknown Artists,1931,"Postcard from a portfolio of 70 postcards and one booklet, letterpress printed","sheet: 5 7/8 x 4 1/8"" (15 x 10.5 cm)",http://www.moma.org/collection/works/164385,,,,15.0,,,10.5,,
"Selma, Alabama (Bloch Bros. Hardware)",Walker Evans,1937,Gelatin silver print,"7 13/16 × 9"" (19.8 × 22.9 cm)",http://www.moma.org/collection/works/50527,,,,19.8,,,22.9,,
"Prints:  various dimensions.""",Purchase Fund,,,,
"Exhibit of a Working Model of a Perception-Dissociator: (Invitation), Statement of Objectives, and To the Director",Henry Flynt,1968,Three cut-and-taped photocopies in envelope,"10 1/16 × 9"" (25.5 × 22.8 cm)",http://www.moma.org/collection/works/178084,,0.0,,25.5,,,22.8,,
"Neue Wache War Memorial, project, Berlin-Mitte, Germany, Two interior perspectives",Ludwig Mies van der Rohe,1930,,,Gelatin silver print,Purchase,322.1963,Photograph,Photography,1963-05-07,N,50726,,
"Progressive proof of first 4 colors for Plate 10 (supplementary suite, plate 123) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,1941-1948,,"irreg. composition  14 7/8 x 11 3/16"" (37.8 x 28.4 cm)",,,,,37.8,,,28.4,,
".5 (salad fork): 7 1/4 x 5/8"""" (18.4 x 1.6 cm)""",Gift of the manufacturer,http://www.moma.org/collection/works/2210,http://www.moma.org/media/W1siZiIsIjIyODAxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=22587a4bb3507250,,
Untitled,Henry Pearson,1964,Lithograph,"composition and sheet: 30 × 22 3/8"" (76.2 × 56.9 cm)",http://www.moma.org/collection/works/74702,,,,76.2,,,56.9,,
Lygia Sleeping and Dreaming (Portrait of Lygia Pape),Eduardo Costa,1997-98,Acrylic paint,"7 x 8 x 7"" (17.8 x 20.3 x 17.8 cm)",http://www.moma.org/collection/works/128931,,17.7800355601,,17.7800355601,,,20.3200406401,,
Barcham Green Portfolio No. 4,Sherrie Levine,1986,"Aquatint with photogravure from a portfolio of five aquatints, two with photogravure","plate: 19 × 14 15/16"" (48.2 × 37.9 cm); sheet: 31 5/16 × 23 1/16"" (79.6 × 58.5 cm)",http://www.moma.org/collection/works/195624,,,,48.2,,,37.9,,
"Composition (without mount): 6 11/16 x 6 11/16"""" (17 x 17 cm)""",Gift of Sylvio Nery da Fonseca Escritorio de Arte Ltd.,,,,
Roll,Dan Graham,1970,"Two Super 8mm films transferred to 16mm film (color, silent)",1:11 min.,http://www.moma.org/collection/works/143195,,,,,,,,,71.0
Greeks,Jan Groover,1984,Platinum/palladium print in bound volume,"2 1/8 × 2 5/8"" (5.4 × 6.7 cm)",,,,,5.4,,,6.7,,
"Salt Lake City, Utah",Lee Friedlander,1974,Gelatin silver print,"7 3/8 × 11 1/8"" (18.7 × 28.2 cm)",http://www.moma.org/collection/works/54099,,,,18.7,,,28.2,,
Games & Puzzles/Ball Puzzle/Bead Puzzle,George Brecht,c. 1965,"Wooden box, containing two offset cards, two pieces of ivory, and two marbles","overall (closed): 4 5/16 x 4 3/4 x 3 1/16"" (11 x 12.1 x 7.7 cm)",http://www.moma.org/collection/works/131949,,7.7,,11.0,,,12.1,,
In-text plate (page 47) from Daphnis et Chloé,Pierre Bonnard,1902,One from an illustrated book with 156 lithographs (including wrapper front),"composition (irreg.): 5 7/8 × 5 9/16"" (14.9 × 14.1 cm); page (each): 11 7/16 × 9 3/8"" (29 × 23.8 cm)",http://www.moma.org/collection/works/21469,,,,14.9,,,14.1,,
Choux Caraibes,Eugène Atget,Before 1900,Matte albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",http://www.moma.org/collection/works/43502,,,,,,,,,
Untitled from Vanish,Sol LeWitt,1994,One from a series of forty screenprints,"composition: 17 1/4 × 12 1/2"" (43.8 × 31.8 cm); sheet: 18 1/16 × 13 3/8"" (45.8 × 33.9 cm)",http://www.moma.org/collection/works/143706,,,,43.8,,,31.8,,
Plate (folio 53) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,1973,,"composition  7 15/16 x 5 15/16"" (20.2 x 15.1 cm)",,,,,20.2,,,15.1,,
Ocean,Jasper Johns,1996,Lithograph,,http://www.moma.org/collection/works/73016,,,,,,,,,
XO Laptop from the One Laptop per Child (OLPC) project,"One Laptop per Child, Nicholas Negroponte, Rebecca Allen, Mary Lou Jepsen, Mark Foster, Michail Bletsas, V. Michael Bove, Yves Béhar, Bret Recor, fuseproject, Jacques Gagné, Gecko Design, Colin Bulthaup, Squid Labs, John Hutchinson, Freeplay Energy Plc., Quanta",2005,"PC/ABS plastic, rubber, and other materials","9 1/2 x 9 x 1 1/8"" (24.1 x 22.9 x 2.9 cm)",http://www.moma.org/collection/works/155757,,2.857505715,,24.1300482601,,,22.8600457201,,
Study of a Woman (Étude de femme),Henri de Toulouse-Lautrec,1893,Lithograph with stencil additions,"composition: 10 1/4 x 7 13/16"" (26 x 19.9 cm); sheet: 13 13/16 x 10 11/16"" (35.1 x 27.2 cm)",http://www.moma.org/collection/works/62871,,,,26.0,,,19.9,,
"Red Lion, Indian",Mathew B. Brady (studio of),1838-96,Gelatin silver print,"2 15/16 × 2 3/16"" (7.4 × 5.5 cm)",,,,,7.4,,,5.5,,
The Nutty Professor storyboards,"John Jensen, Jerry Lewis",,,"11 × 8 1/2"" (27.9 × 21.6 cm)",,,0.0,,27.9400558801,,,21.5900431801,,
Untitled from Nunca más (Never Again),León Ferrari,"1995–96, printed 2007",One from a series of forty-six photocopies,"composition and sheet: 16 9/16 × 11 3/4"" (42 × 29.8 cm)",http://www.moma.org/collection/works/415934,,,,42.0,,,29.8,,
Hooded Oriole,Eliot Porter,1941,Dye transfer print,"7 3/16 × 9 1/4"" (18.3 × 23.5 cm)",http://www.moma.org/collection/works/53736,,,,18.3,,,23.5,,
Untitled from Eight Etchings,Jonas Wood,2014,One from a portfolio of eight etchings with chine collé,"plate: 8 3/4 × 7 13/16"" (22.3 × 19.9 cm); sheet: 15 15/16 × 13 15/16"" (40.5 × 35.4 cm)",http://www.moma.org/collection/works/199405,,,,22.3,,,19.9,,
Plate (page 25) from HOMMAGE À RIMBAUD,Roger Vieillard,1945,"Engraving with etched caption, printed in black, with embossing","irreg. composition  8 3/4 x 5 13/16"" (22.2 x 14.8 cm)",,,,,22.2,,,14.8,,
The World According to Shorts,,2006,,,,,,,,,,,,
"Untitled (International Surrealist Exhibition, Paris)",Roger Schall,1938,Gelatin silver print,"8 3/4 × 8 3/8"" (22.2 × 21.3 cm)",http://www.moma.org/collection/works/289778,,,,22.2250444501,,,21.2725425451,,
Zarząd Koła Ciułaczy letterhead,a.r. Group,1930s,Letterpress,"11 3/8 × 8 1/4"" (28.9 × 21 cm)",http://www.moma.org/collection/works/198541,,,,28.8925577851,,,20.9550419101,,
Untitled (Ocean),Vija Celmins,1970,Graphite on acrylic ground on paper,"14 1/8 x 18 7/8"" (36 x 48 cm)",http://www.moma.org/collection/works/37431,,,,36.0,,,48.0,,
"Mary Dyer. Boston, Massachusetts",Lee Friedlander,1975,Gelatin silver print,"11 1/8 × 7 3/8"" (28.2 × 18.8 cm)",,,,,28.2,,,18.8,,
Untitled,Unknown photographer,1980,Chromogenic color print,"Image: 4 7/16 × 3 7/16"" (11.3 × 8.8 cm)",,,,,11.3,,,8.8,,
Drizzle,Robert Rauschenberg,1968,Lithograph with embossing,"composition (irreg.): 42 7/16 x 29 3/4"" (107.8 x 75.6 cm); sheet: 53 1/2 x 30 13/16"" (135.9 x 78.2 cm)",http://www.moma.org/collection/works/66026,,,,107.8,,,75.6,,
"""Bob Nickas Represents You""",Kayrock and Wolfy,2007,Screenprint with ink additions,"composition and sheet (irreg.): 25 1/16 x 19"" (63.7 x 48.3 cm)",http://www.moma.org/collection/works/125818,,,,63.7,,,48.2,,
Muséum national d'histoire naturelle; Musée d'Ethnographie du Trocadéro,"Jacques-André Boiffard, Lou Tchimoukow",1900-1937,Poster,"21 1/2 x 15 5/8"" (54.6 x 39.7cm)",,,,,54.6,,,39.7,,
"Young Nubian Woman from Voyages au Soudan Oriental (Paris: Borrani, 1852-58)",Pierre Trémaux,1847-54,Salted paper print,"10 1/16 × 7 13/16"" (25.5 × 19.8 cm)",http://www.moma.org/collection/works/127498,,,,55.0,,,36.1,,
"56 Leonard Street, New York, New York, USA","Herzog & de Meuron, Basel",2006–2008,Acrylic,"8 7/8 × 1 3/4 × 1 3/16"" (22.5 × 4.5 × 3 cm)",,,3.0,,22.5,,,4.5,,
Tea Service,Otto Lindig,c.1926,Glazed earthenware,,http://www.moma.org/collection/works/163642,,,,,,,,,
"REV. MARTIN CYRIL D'ARCY, S. J",Alfred Eisenstaedt,1951,Gelatin silver print,"13 1/2 × 10 5/8"" (34.2 × 26.8 cm)",,,,,34.2,,,26.8,,
Plate (page 50) from Parallèlement (In Parallel),Pierre Bonnard,1900,Lithograph from an illustrated book with 109 lithographs and nine wood engravings,"composition (irreg.): 6 3/8 × 8 3/16"" (16.2 × 20.8 cm); page (irreg. each approx.): 11 5/8 × 9 7/16"" (29.6 × 24 cm)",http://www.moma.org/collection/works/21327,,,,16.2,,,20.8,,
"Highrise of Homes, project (Exterior perspective)","SITE, James Wines",1981,Ink and charcoal on paper,"22 x 24"" (55.9 x 61 cm)",http://www.moma.org/collection/works/709,,,,55.9,,,61.0,,
The Jewish Woman,Jean Dubuffet,October 1950,Oil on canvas,"45 3/4 x 35"" (116.2 x 88.7 cm)",http://www.moma.org/collection/works/80668,,,,116.2,,,88.7,,
Somewhere to Light from New York International,James Rosenquist,1966,"Screenprint from a portfolio of seven screenprints, two lithographs, and one offset lithograph with objects in various media","composition and sheet: 16 15/16 x 22 1/16"" (43 x 56 cm)",http://www.moma.org/collection/works/65826,,,,43.0,,,56.0,,
A Street Dancer and Gypsies. Costume design for Scene II of the ballet Aleko,Marc Chagall,1942,"Gouache, watercolor, and pencil on paper","11 7/8 x 15 7/8"" (30.2 x 40.3 cm)",http://www.moma.org/collection/works/85016,,,,30.1626,,,40.3226,,
"Seville, Spain",Henri Cartier-Bresson,1933,"Gelatin silver print, printed c. 1949","9 1/4 × 13 11/16"" (23.5 × 34.8 cm)",http://www.moma.org/collection/works/110311,,,,23.5,,,34.8,,
Hubbe-related Study,Ludwig Mies van der Rohe,1934-1935,Ink on paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",(1947),(Male),1998,Gelatin silver print,"7 3/4 × 9 3/4"" (19.6 × 24.5 cm)",Lois and Bruce Zenkel Fund,573.1998,Photograph,Photography,1998-10-15
Plate (folio 19) from Self Portraits,James Brown,1983,One from an illustrated book with thirty lithographs (including cover),"composition (irreg.): 11 15/16 × 11 7/16"" (30.3 × 29 cm); page (each): 16 9/16 × 13 1/8"" (42.1 × 33.4 cm)",http://www.moma.org/collection/works/19533,,,,30.3,,,29.0,,
Untitled,Louise Bourgeois,2002,Screenprint,"sheet: 22 3/8 x 15 3/4"" (56.8 x 40 cm)",http://www.moma.org/collection/works/119766,,,,56.8,,,40.0,,
Color separations for SMILE II (Sourire II),Jean Dubuffet,(1966),9 color separations for the color lithograph,,,,,,,,,,,
Atomic Park,Dominique Gonzalez-Foerster,2004,35mm film,,http://www.moma.org/collection/works/179767,,,,,,,,,
",51.2016,Photograph,Photography,2016-01-28,Y,199596,http://www.moma.org/collection/works/199596,,,,,97.1551943104,,,73.6601473203,,
Plate (page 20) from Manifeste Mystique (Mystic Manifesto),Salvador Dalí,1364,(Spanish"," 1904–1989)""","composition (irreg.): 6 7/16 × 7 3/8"" (16.3 × 18.7 cm); page (each): 14 15/16 × 11 1/8"" (38 × 28.2 cm)",The Louis E. Stern Collection,772.1964.A11,,,16.3,,,18.7,,
"National Ex-Slave Mutual Relief, Bounty and Pension Association Badges",Cameron Rowland,2016,Pot metal,"Each 1 1/4 × 1 1/4 × 1 1/4"" (3.2 × 3.2 × 3.2 cm), frame 11 3/4 × 14 3/4 × 2"" (29.8 × 37.5 × 5.1 cm)",http://www.moma.org/collection/works/203673,,3.17500635,,3.17500635,,,3.17500635,,
Title page from the series Skies of Venice,Adja Yunkers,(December 27) 1960,One from a series of ten lithographs,"irreg composition  9 1/16 x 13 7/16"" (23 x 34.2 cm)
Plate 8 of 9",(1911),(Female),1946-1947,Engraving and drypoint,"plate: 6 15/16 × 4 7/8"" (17.6 × 12.4 cm); sheet (original): 9 13/16 × 6 9/16"" (25 × 16.7 cm); sheet: 10 1/16 × 7 7/8"" (25.5 × 20 cm)",Gift of the artist,444.1993,Print,Drawings & Prints,1994-11-17
Untitled from Quiet Noise,Dave Muller,2011,One from a portfolio of eight etching and aquatints with chine collé,"plate: 5 3/4 × 7 11/16"" (14.6 × 19.5 cm); sheet: 15 7/16 × 13 5/16"" (39.2 × 33.8 cm)",http://www.moma.org/collection/works/199788,,,,14.6,,,19.5,,
Tuileries (vase),Eugène Atget,1912,Albumen silver print,"Approx. 8 11/16 × 6 9/16"" (22 × 16.7 cm)",http://www.moma.org/collection/works/40528,,,,,,,,,
"sheet  8 9/16 x 6 1/16"""" (21.7 x 15.4 cm)""",Latin American Fund,,,,
Double Lunar Dogs,Joan Jonas,1984,"Video (color, sound)",24 min.,http://www.moma.org/collection/works/89352,,,,,,,,,1440.0
"Maiakovskii ulybaetsia. Maiakovskii smeetsia. Maiakovskii izdevaetsia (Mayakovsky Smiles, Mayakovsky Laughs, Mayakovsky Jeers)",Aleksandr Rodchenko,1923,"Illustrated book, letterpress printed","page: 6 7/8 x 4 7/8"" (17.4 x 12.4 cm)",http://www.moma.org/collection/works/14907,,,,17.4,,,12.4,,
"sheet  22 5/16 x 18 15/16"""" (56.7 x 48.2 cm)""","Gift of Kleiner, Bell & Co.",,,,
Painter [Jankel Adler],August Sander,1924,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",http://www.moma.org/collection/works/194060,,,,,,,,,
"Residencia Brisa, Col. Pedregal de San Angel, Mexico City, Mexico",José Antonio Attolini Lack,1958,Gelatin silver print,"11 x 14 3/16"" (28 x 36 cm)",http://www.moma.org/collection/works/184780,,,,28.0,,,36.0,,
Axial Figure,Jan Lebenstein,1960,Felt-tip pen on paper,"25 x 18 7/8"" (63.5 x 47.9 cm)",http://www.moma.org/collection/works/36323,,,,63.5,,,47.9,,
Herodes und Herodias from Salome und der Prophet,Willi Baumeister,(1946),One from a portfolio of twelve lithographs,"Sheet 11 3/8 x 14 1/2"" (28.8 x 36.5 cm)",,,,,28.8,,,36.5,,
Self-Portraits - Second Published State (The Dartmouth Portraits),Jim Dine,1975,Series of nine etchings with aquatint,"ea. plate  7 15/16 x 5 15/16"" (20.1 x 15.1 cm)
Paper Piece","(American, 1934–2016)",(1934),(2016),(Male),1962,Gelatin silver print,"sheet: 10 × 8"" (25.4 × 20.3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3724.2008.R02,Photograph
heute / +morgn / +immer / wieder / bis…,Arthur Köpcke,1962,Cut-and-pasted printed paper with typewriting on paper,"sheet (irreg.): 11 3/8 x 4 11/16"" (28.9 x 11.9 cm)",http://www.moma.org/collection/works/127410,,,,28.9,,,11.9,,
Rocking Knife,W. D. Slater,1968,Plastic and stainless steel,"1/2 x 4 3/4 x 6 1/4"" (1.3 x 12.1 x 15.9 cm)",http://www.moma.org/collection/works/82741,,,,1.27,15.875,,12.065,,
Plate (page 84) from The Pastoral Loves of Daphnis and Chloe,Ruth Reeves,1934,One from an illustrated book with twenty-two etchings,"plate  7 7/16 x 5"" (18.9 x 12.7 cm)",,,,,18.9,,,12.7,,
"Jean-Marie Straub and Danièle Huillet at work on a film based on Franz Kafka's unfinished novel, ""America”",Harun Farocki,1983,"16mm film transferred to video (color, sound)",26 min.,http://www.moma.org/collection/works/147844,,,,,,,,,1560.0
Vue Prise Sous le Pont Neuf (6e Arrondissement),Eugène Atget,1910-11,Albumen silver print,"Approx. 7 1/16 × 8 9/16"" (18 × 21.8 cm)",http://www.moma.org/collection/works/43115,,,,,,,,,
Drowning Man,Richard Bosman,1981,Woodcut,"composition: 40 1/16 × 24"" (101.8 × 61 cm); sheet: 47 5/8 × 30 3/8"" (120.9 × 77.1 cm)",http://www.moma.org/collection/works/62903,,,,101.8,,,61.0,,
Plate (page 53) from COME DETTA DENTRO VO SIGNIFICANDO,Roberto Matta,1959-1962,"Soft ground etching and aquatint, printed in color","plate  10 7/8 x 14 3/4"" (27.7 x 37.5 cm)",,,,,27.7,,,37.5,,
"Bob, Dr. Robert Sappenfield, Dorchester, Massachusetts",Nicholas Nixon,August 1988,Gelatin silver print,"7 11/16 × 9 5/8"" (19.6 × 24.5 cm)",http://www.moma.org/collection/works/55892,,,,19.6,,,24.5,,
Pisser at the Wall (Pisseur au mur) from the supplementary suite for the book Les Murs by Eugène Guillevic,Jean Dubuffet,1945,Lithograph,"composition (irreg.): 13 3/4 x 11"" (34.9 x 28 cm); sheet: 15 1/16 x 11 1/8"" (38.3 x 28.3 cm)",http://www.moma.org/collection/works/73926,,,,34.9,,,28.0,,
"A Ray of Hope on Meatless Days (Ein Lichtblick an fleischlosen Tagen) (front cover, folio 14) from the periodical Der Bildermann, vol. 1, no. 7 (Jul 1916)",August Gaul,1916,Lithograph,"composition (irreg.): 6 1/4 x 8 13/16"" (15.8 x 22.4 cm); page: 14 x 11"" (35.5 x 28 cm)",http://www.moma.org/collection/works/15861,,,,15.8,,,22.4,,
"The Old Park of Pliouchkine (Le vieux parc de Pliouchkine), plate XXXIX (supplementary suite) from Les Âmes mortes",Marc Chagall,1923-48,Etching and drypoint,"plate: 11 x 8 9/16"" (27.9 x 21.7cm)",http://www.moma.org/collection/works/22598,,,,27.9,,,21.7,,
Stonemason,August Sander,c. 1930,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",http://www.moma.org/collection/works/193798,,,,,,,,,
"Prints:  various dimensions.""",Blanchette Hooker Rockefeller Fund,http://www.moma.org/collection/works/17021,,,
For Two,Franz Erhard Walther,1967,Fabric,"48 13/16 x 18 1/8"" (124 x 46 cm)",http://www.moma.org/collection/works/163582,,0.0,,124.0,,,46.0,,
Raseia,Aleksei Grishchenko,1922,,"Page: 10 x 7 3/4"" (25.4 x 19.7 cm)",,,,,25.4,,,19.7,,
"German People - German Work Exhibit, Berlin, Germany, Sanitary installations and ceramics exhibit. Elevation.",Lilly Reich,1934,Pencil on tracing paper,"10 3/4 x 61"" (27.3 x 154.9 cm)",,,,,27.3050546101,,,154.9403098806,,
Wee Willie Winkie's World from The Chicago Sunday Tribune,Lyonel Feininger,"August 26, 1906",Lithographed comic strip,"page: 23 1/2 x 17 13/16"" (59.7 x 45.2 cm)",http://www.moma.org/collection/works/102109,,,,59.7,,,45.2,,
Seated Youth,Gerhard Marcks,1937,Bronze,"17 5/8 x 12 1/4 x 7 3/4"" (44.7 x 31.1 x 19.7 cm)",http://www.moma.org/collection/works/81002,,19.7,,44.7,,,31.1,,
