Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Schismes,Pierre Alechinsky,107,"(Belgian, born 1927)",(Belgian),(1927),(0),(Male),(1978),Illustrated book with four lithographs,"page: 12 3/4 x 9 3/8"" (32 x 23.8 cm)
Untitled from Blueberry Surprise,Joseph Grigely,7929,"(American, born 1956)",(American),(1956),(0),(Male),2006,One from a portfolio of 44 offset lithographs,"sheet: 11 x 8 7/16"" (28 x 21.4 cm); composition: 7 3/16 x 4 15/16"" (18.3 x 12.5 cm)",The Monroe Wheeler Fund,1033.2007.26,Print,Drawings & Prints,2007-11-12,N,125343,,,,,,28.0,,,21.4,,
Plate (folio 3) from an untitled book,Jürgen Partenheimer,4510,"(German, born 1947)",(German),(1947),(0),(Male),1985,,"composition  5 3/4 x 4 3/4"" (14.6 x 12 cm)",Abby Aldrich Rockefeller Fund,178.1985.1,Illustrated Book,Drawings & Prints,1985-06-04,N,12792,,,,,,14.6,,,12.0,,
House for the Troughs (with Tree),Walter Pichler,4612,"(Austrian, 1936–2012)",(Austrian),(1936),(2012),(Male),1999,"Gouache, ink, and pencil on transparentized paper","18 5/8 x 31"" (47.3 x 78.7 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2784.2005,Drawing,Drawings & Prints,2005-05-10,Y,97070,http://www.moma.org/collection/works/97070,http://www.moma.org/media/W1siZiIsIjEzNDA2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a1ca2ca378ca810,,,,47.3075946152,,,78.7401574803,,
An Anthology,"Various Artists, George Brecht, Claus Bremer, Earle Brown, Joseph Byrd, John Cage, Anthony Cox, David Degener, Walter De Maria, Ding Dong, Henry Flynt, Simone Forti, Dick Higgins, Toshi Ichiyanagi, Terry Jennings, Ray Johnson, Jackson Mac Low, Richard Maxfield, Robert Morris, Yoko Ono, Nam June Paik, Terry Riley, Dieter Roth, James Waring, Emmett Williams, Christian Wolff, La Monte Young","24409, 756, 44247, 18214, 42854, 912, 40517, 44248, 1433, 44250, 35796, 34908, 2637, 36947, 36948, 2928, 34743, 43277, 4108, 4410, 4469, 4930, 5042, 44251, 6377, 44252, 6520","(American, 1926–2008) (German, 1924–1996) (American, 1926–2002) (American, born 1937) (American, 1912–1992) (American) (American, 1935–2013) (American, born 1940) (American, born Italy. 1935) (American, born England. 1938–1998) (Japanese, born 1933) (American, 1940–1981) (American, 1927–1995) (American, 1922–2004) (American, 1927–1969) (American, 1931–2018) (Born Japan, 1933) (American, born Korea. 1932–2006) (American, born 1935) (Swiss, born Germany. 1930–1998) (American, 1922–1975) (American, 1925–2007) (American, born 1934) (American, born 1935)",() (American) (German) (American) (American) (American) (American) () (American) () (American) (American) (American) (Japanese) (American) (American) (American) (American) (American) (American) (American) (American) (Swiss) (American) (American) (American) (American),(0) (1926) (1924) (1926) (1937) (1912) (0) (0) (1935) (0) (1940) (1935) (1938) (1933) (1940) (1927) (1922) (1927) (1931) (1933) (1932) (1935) (1930) (1922) (1925) (1934) (1935),(0) (2008) (1996) (2002) (0) (1992) (0) (0) (2013) (0) (0) (0) (1998) (0) (1981) (1995) (2004) (1969) (2018) (0) (2006) (0) (1998) (1975) (2007) (0) (0),() (Male) (Male) (Male) (Male) (Male) () () (Male) () (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) () (Male),1962,"Artist's book, offset printed","page (each approx.): 9 7/16 × 8"" (24 × 20.3 cm); overall (approx.): 9 7/16 × 8 × 15/16"" (24 × 20.3 × 2.4 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3154.2008.a-lll,Illustrated Book,Drawings & Prints,2008-10-08,Y,172871,http://www.moma.org/collection/works/172871,http://www.moma.org/media/W1siZiIsIjI3ODkyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c8fe5bbe7b20fe78,,,,24.0,,,20.3,,
"A SLIGHTLY EXAGGERATED FOREGROUND. ""THROUGH THE WINDOW""",Unknown photographer,8595,"",(),(0),(0),(),1859-60,Albumen silver print,"2 5/8 × 2 7/8"" (7.2 × 7.4 cm)",,224.1975.50,Photograph,Photography,1975-05-14,N,49074,,,,,,7.2,,,7.4,,
Untitled (study for Publyck Sculpture),Cady Noland,7817,"(American, born 1956)",(American),(1956),(0),(Female),1993,Pencil on transparentized paper in artist's frame,"21 1/2 x 22 x 1"" (54.6 x 55.9 x 2.5 cm) (frame)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2542.2005,Drawing,Drawings & Prints,2005-05-10,Y,96828,http://www.moma.org/collection/works/96828,,,,,35.5600711201,,,43.1800863602,,
CIRCULAR STRUCTURE 2R,Getulio Alviani,137,"(Italian, born 1939)",(Italian),(1939),(0),(Male),(1965),"Serigraph, printed in color","Sheet 27 7/16 x 19 9/16"" (69.7 x 49.8  cm) Comp. 17 11/16 x 17 11/16"" (45.0 x 45.0  cm)08/22/72  08/22/72  08/22/72",International Graphic Arts Society Fund,485.1967,Print,Drawings & Prints,1967-06-06,N,69951,,,,,,45.0,,,45.0,,
"Elks Parade, Harlem",Jack Manning,3732,"(American, 1920–2001)",(American),(1920),(2001),(Male),1938,Gelatin silver print,"7 5/8 × 8 3/8"" (19.4 × 21.3 cm)",Photography Purchase Fund,683.1941,Photograph,Photography,1941-12-10,Y,56037,http://www.moma.org/collection/works/56037,http://www.moma.org/media/W1siZiIsIjI1MzEwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b36349eec7cba5b3,,,,19.4,,,21.3,,
Name card for Wim T. Schippers,George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),c. 1964,Offset card,"sheet: 2 5/8 × 2 9/16"" (6.6 × 6.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2861.2008.36,Print,Drawings & Prints,2008-10-08,Y,192960,http://www.moma.org/collection/works/192960,http://www.moma.org/media/W1siZiIsIjM4MjY3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c94f779e912fc43,,0.0,,6.6,,,6.5,,
Ma Maison,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2009,Etching,"sheet: 42 3/4 x 38 3/4"" (108.6 x 98.4 cm)",Gift of the artist,567.2013,Print,Drawings & Prints,2013-05-21,Y,163235,http://www.moma.org/collection/works/163235,http://www.moma.org/media/W1siZiIsIjI3OTM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2da922429bb08335,,,,108.6,,,98.4,,
Bondage Device: Meat Hoist,Hal Fischer,69495,"(American, born 1950)",(American),(1950),(0),(Male),1977,"Pigmented inkjet print, printed 2014","18 1/2 × 12 3/8"" (47 × 31.4 cm)",Geraldine Murphy Fund,714.2017.13,Photograph,Photography,2017-10-26,Y,273182,http://www.moma.org/collection/works/273182,http://www.moma.org/media/W1siZiIsIjQxMDczOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9f1f74767d48471,,,,46.9900939802,,,31.4325628651,,
Providence,Harry Callahan,924,"(American, 1912–1999)",(American),(1912),(1999),(Male),1977,Dye transfer print,"8 7/8 × 13 7/16"" (22.5 × 34.1 cm)",Gift of Dr. J. Patrick Kennedy,162.2008,Photograph,Photography,2008-02-14,Y,113335,http://www.moma.org/collection/works/113335,http://www.moma.org/media/W1siZiIsIjE4Mzk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41ea9295f515fd28,,,,22.5,,,34.1,,
Untitled,Jack Bush,893,"(Canadian, 1909–1977)",(Canadian),(1909),(1977),(Male),1965,,,"Gift of Mrs. Samuel Bronfman, Mrs. John David Eaton, and Mr. Samuel J. Zacks (through the International Council)",2126.1967.1,Print,Drawings & Prints,1967-10-18,N,86539,,,,,,,,,,,
Untitled from Coyote Stories,Chris Burden,871,"(American,1946–2015)",(American),(1946),(2015),(Male),2005,"Digital print with chine collé from a portfolio of ten etchings, five with aquatint, and 25 digital prints with chine collé","plate: 10 3/4 x 8 9/16"" (27.3 x 21.7 cm); sheet: 14 15/16 x 12 3/8"" (38 x 31.5 cm)",Monroe Wheeler Fund,82.2011.23,Print,Drawings & Prints,2011-03-07,Y,146788,http://www.moma.org/collection/works/146788,http://www.moma.org/media/W1siZiIsIjIxNTQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7762716466b7e3ca,,,,27.3,,,21.7,,
"Zbirnyk sektsii mystetstv, no. 1",Marko Kyrnars'kyi,23713,"",(),(0),(0),(Male),1921,,"Page: 12 3/8 x 9 1/16"" (31.4 x 23 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),720.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,22232,,,,,,31.4,,,23.0,,
Untitled (Study for Hairy Spider),Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2001,Photocopy,"composition and sheet: 11 x 8 1/2"" (27.9 x 21.6 cm)",Gift of the artist,514.2010,Print,Drawings & Prints,2010-06-09,Y,136145,http://www.moma.org/collection/works/136145,http://www.moma.org/media/W1siZiIsIjE5OTQ5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a7026f1882da085,,,,27.9,,,21.6,,
Smert' komandarma,Moisei Levin,13434,"",(),(0),(0),(Male),1925,,"Page: 6 x 4 7/16"" (15.2 x 11.3 cm)",Gift of The Judith Rothschild Foundation,626.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,19781,,,,,,15.2,,,11.3,,
Plate 6 (folio 12) from COUINQUE,Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(Male),1962,One from an illustrated book with seven engravings on celluloid,"plate  7 3/8 x 5"" (18.7 x 12.7 cm)",Gift of Mr. and Mrs. Ralph F. Colin,2206.1967.7,Illustrated Book,Drawings & Prints,1967-10-18,N,32456,,,,,,18.7,,,12.7,,
Untitled,Marcel Dzama,27712,"(Canadian, born 1974)",(Canadian),(1974),(0),(Male),(2002),"Ink, watercolor, and root beer concentrate on paper","11 x 14"" (27.9 x 35.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1594.2005,Drawing,Drawings & Prints,2005-05-10,Y,95856,http://www.moma.org/collection/works/95856,http://www.moma.org/media/W1siZiIsIjExNTczNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5da4f4450f343ac1,,,,27.9401,,,35.5601,,
"New York Times Building, New York, NY (Elevation, scale model 1:125)",Renzo Piano,8988,"(Italian, born 1937)",(Italian),(1937),(0),(Male),2007,"Wood, plexiglass and painted metal","36 x 58"" (91.4 x 147.3 cm)",Gift of The New York Times Company and Forest City Ratner Companies,425.2008,Architecture,Architecture & Design,2008-05-22,Y,118823,http://www.moma.org/collection/works/118823,,,,,91.4401828804,,,147.3202946406,,
Eating the Wall Street Journal (3rd version),Pope.L,37145,"(American, born 1955)",(American),(1955),(0),(Male),2000,"Fabricated wood and metal structure, toilet, newspaper, fishing pole, pillow, Heinz Ketchup bottles, and milk cartons","Approx. 147 × 96 × 96"" (373.4 × 243.8 × 243.8 cm)","Acquired in part through the generosity of Jill and Peter Kraus, Anne and Joel S. Ehrenkranz, The Contemporary Arts Council of The Museum of Modern Art, The Jill and Peter Kraus Media and Performance Acquisition Fund, and Jill and Peter Kraus in honor of Michael Lynne ",82.2019.7,Installation,Media and Performance,2019-04-04,N,295114,,,,243.840487681,,373.3807467615,,,243.840487681,,
Standart - T (?),A.R. Penck (Ralf Winkler),4546,"(German, 1939–2017)",(German),(1939),(2017),(Male),(1980),Ink on paper,"19 5/8 x 29 3/8"" (49.9 x 74.6 cm)",Gift of Jo Carole and Ronald S. Lauder,256.1990.8,Drawing,Drawings & Prints,1990-05-08,Y,35667,http://www.moma.org/collection/works/35667,,,,,49.9,,,74.6,,
I/5 Farming Types from People of the Twentieth Century,August Sander,5145,"(German, 1876–1964)",(German),(1876),(1964),(Male),,Gelatin silver prints,"Each approx. 10 × 7"" (25.4 × 17.8 cm)",Acquired through the generosity of the family of August Sander,472.2015.76-90,Photograph,Photography,2015-05-28,Y,204732,http://www.moma.org/collection/works/204732,,,,,25.4000508001,,,17.7800355601,,
Frank O'Hara,Larry Rivers,4945,"(American, 1923–2002)",(American),(1923),(2002),(Male),(c. 1952),Pencil on paper,"6 1/8 x 5 1/8"" (15.6 x 13.1 cm)",Gift of Carol O. Selle,516.1977,Drawing,Drawings & Prints,1977-11-02,Y,37269,http://www.moma.org/collection/works/37269,,,,,15.6,,,13.0,,
Working-class Country Children,August Sander,5145,"(German, 1876–1964)",(German),(1876),(1964),(Male),1914,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",Acquired through the generosity of the family of August Sander,472.2015.157,Photograph,Photography,2015-05-28,Y,193789,http://www.moma.org/collection/works/193789,http://www.moma.org/media/W1siZiIsIjMyNDYwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bec28b928fd76951,,,,,,,,,
"Tredicesima, Triennale di Milano",Massimo Vignelli,6155,"(Italian, 1931–2014)",(Italian),(1931),(2014),(Male),1964,Photo lithograph,"37 3/4 x 24 1/2"" (95.9 x 62.2 cm)",Gift of the artist,277.1965.3,Design,Architecture & Design,1965-04-06,Y,6023,http://www.moma.org/collection/works/6023,,,,,95.9,,,62.2,,
Famille,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1947-1949,Engraving and drypoint,"plate: 6 15/16 x 5 7/16"" (17.7 x 13.8 cm); sheet: 11 x 8 7/16"" (28 x 21.5 cm)",Gift of the artist,149.1990.2,Print,Drawings & Prints,1990-05-02,Y,62956,http://www.moma.org/collection/works/62956,http://www.moma.org/media/W1siZiIsIjI2NzkxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15111e6993d55c65,,,,17.7,,,13.8,,
Untitled from Favorite Objects,Christian Boltanski,649,"(French, born 1944)",(French),(1944),(0),(Male),1998,One from a portfolio of 264 color Xeroxes,"composition: 10 13/16 x 8 5/16"" (27.4 x 21.1 cm); sheet: 11 x 8 9/16"" (28 x 21.7 cm)","Gift of Lee and Ann Fensterstock, in honor of their daughters, Kate and Jane",155.1999.253,Print,Drawings & Prints,1999-05-20,N,134180,,,,,,27.4,,,21.1,,
"Study/Falling Man Series, Volume II",Ernest  Trova,5938,"(American, 1927–2009)",(American),(1927),(2009),(Male),1967,Series of six screenprints,"Various composition dimensions.  Sheet (ea. approx.):  24 x 24"" (61.0 x 61.0 cm)",John B. Turner Fund,1641.1968.1-6,Print,Drawings & Prints,1968-12-11,Y,77420,http://www.moma.org/collection/works/77420,,,,,61.0,,,61.0,,
Thon de Does letterhead,Thon de Does,49601,(Dutch),(Dutch),(0),(0),(Male),1930,Letterpress,"11 × 8 1/4"" (27.9 × 21 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1507.2015,Design,Architecture & Design,2015-10-19,Y,198724,http://www.moma.org/collection/works/198724,,,,,27.9400558801,,,20.9550419101,,
MIMID Miniature Mine Detector,"Gerhard Heufler, Hans Georg Schiebel","27737, 32537","(Austrian, born 1944)",(Austrian) (),(1944) (0),(0) (0),(Male) (),1996,Carbon fiber,"12 7/8 x 4 x 21/4"" (32.8 x 10.2 x 5.6 cm) folded; 49 3/4"" (126.2 cm) extended",Gift of Schiebel Elektronische Geräte GmbH,112.2006,Design,Architecture & Design,2006-02-09,Y,93964,http://www.moma.org/collection/works/93964,http://www.moma.org/media/W1siZiIsIjIzNDkxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41a963590444a9d3,,,,5.5,32.5,,9.5,,
New York,Edward Weston,6329,"(American, 1886–1958)",(American),(1886),(1958),(Male),1941,Gelatin silver print,"9 1/4 × 7 3/8"" (23.6 × 18.8 cm)",Gift of David H. McAlpin,441.1956,Photograph,Photography,1956-10-25,Y,53421,http://www.moma.org/collection/works/53421,http://www.moma.org/media/W1siZiIsIjIwODk1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26f9ce88787c734d,,,,23.6,,,18.8,,
Highrise of Homes project,James Wines,7570,"(American, born 1932)",(American),(1932),(0),(Male),1981,Eight ink on mylar drawings,see children,Gift of the architect,717.2015.1-8,Architecture,Architecture & Design,2015-06-04,N,194530,,,,,,,,,,,
"Farnsworth House, Plano, Illinois (Details of roof openings. Sections, plans)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1950,Pencil on ozalid,"36 1/2 x 62"" (92.7 x 157.5 cm)","Mies van der Rohe Archive, gift of the architect
District Administrator’s Wife,August Sander,5145,"(German, 1876–1964)",(German),(1876),(1964),(Male),1936,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",Acquired through the generosity of the family of August Sander,472.2015.229,Photograph,Photography,2015-05-28,Y,193861,http://www.moma.org/collection/works/193861,http://www.moma.org/media/W1siZiIsIjMyODAxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e9825609b448f1a1,,,,,,,,,
"Quelle soie aux baumes de temps (What Silk with Balms of Time) (plate, page 147) from Poésies (Poems)",Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(Male),1932,One from an illustrated book with thirty etchings (including supplementary plate),"composition (irreg.): 10 7/16 × 7 7/8"" (26.5 × 20 cm); page (each irreg.): 13 1/8 × 10 1/16"" (33.4 × 25.5 cm)",The Louis E. Stern Collection,923.1964.28,Illustrated Book,Drawings & Prints,1964-10-06,Y,28280,http://www.moma.org/collection/works/28280,http://www.moma.org/media/W1siZiIsIjE5MDgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=afcd08b012452a28,,,,26.5,,,20.0,,
"Count Vladimir Fredericks, General Derfeling, Maneuvers, Peterhof",Unknown photographer,8595,"",(),(0),(0),(),"August 9-10, 1905",Gelatin silver printing-out-paper print,"3 3/8 × 11 5/16"" (8.6 × 28.8 cm)",Acquired through the generosity of Howard Stein,483.2011.7,Photograph,Photography,2001-06-14,Y,86356,http://www.moma.org/collection/works/86356,http://www.moma.org/media/W1siZiIsIjM0NTk4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7c790745b4bfda7,,,,8.6,,,28.8,,
sheet  67 15/16 x 39 1/16"" (172.7 x 99.2 cm)",The Charles A. Dana Foundation Fund,20.1985,Print,Drawings & Prints,1985-01-30,Y,60118,http://www.moma.org/collection/works/60118,,,,,149.3,,,64.0,,
Untitled from an untitled portfolio,Gego (Gertrud Goldschmidt),2107,"(Venezuelan, born Germany. 1912–1994)",(Venezuelan),(1912),(1994),(Female),1966,One from a portfolio of nine lithographs (including cover),"composition (irreg.): 8 7/8 × 10 15/16"" (22.6 × 27.8 cm); page: 11 × 11"" (28 × 28 cm)","Gift of Kleiner, Bell & Co.",1918.1967.7,Print,Drawings & Prints,1974-01-10,Y,77754,http://www.moma.org/collection/works/77754,http://www.moma.org/media/W1siZiIsIjE3OTk4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=40efeb8c2592bb0f,,,,22.6,,,27.8,,
"S.C. Johnson and Son Company Administration Building, Racine, Wisconsin",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1936,,"EST.: 28 3/4 × 38 5/8"" (73 × 98.1 cm)",,FLW.DR.3601.002,Frank Lloyd Wright Archive,Architecture & Design,,N,207244,,,,0.0,,73.0251460503,,,98.1076962154,,
Untitled (building with drainpipe),Janusz Lesniak,3496,"(Polish, born 1947)",(Polish),(1947),(0),(),1976-87,Gelatin silver print,"10 5/16 × 11 1/2"" (26.2 × 29.2 cm)",Gift of the artist,576.1987.7,Photograph,Photography,1987-12-10,N,141307,,,,,,32.0,,,41.9,,
Lady in Car. Costume design for the ballet A Thousand Times Neigh,Alvin Colt,1201,"(American, 1916–2008)",(American),(1916),(2008),(Male),1940,"Gouache, pencil, stapled fabric, and stamped ink on colored card","26 1/2 × 20 1/8"" (67.3 × 51.1 cm)",Gift of Lincoln Kirstein,277.1942.17,Drawing,Drawings & Prints,1942-01-01,Y,290742,http://www.moma.org/collection/works/290742,http://www.moma.org/media/W1siZiIsIjQzODA5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ecc4f4067df75a7,,,,67.3,,,51.1176022352,,
Dots II,Paul Sharits,34459,"(American, 1943–1993)",(American),(1943),(1993),(Male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC4972,Film,Fluxus Collection,2008-10-08,N,188455,,,,0.0,,0.0,,,0.0,,
Bud from an Ashtree,Laure Albin-Guillot,22870,"(French, 1878–1962)",(French),(1878),(1962),(Female),1931,Photogravure,"10 13/16 × 8 7/16"" (27.5 × 21.5 cm)",Gift of Alan Siegel,1580.2001.8,Photograph,Photography,2001-06-14,Y,82467,http://www.moma.org/collection/works/82467,http://www.moma.org/media/W1siZiIsIjE4MjA0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=807b4eac777315aa,,,,27.5,,,21.5,,
"Rionegro, Santander",Beatriz González,36415,"(Colombian, born 1938)",(Colombian),(1938),(0),(Female),1967,Oil on canvas,"36 1/4 x 42 1/8"" (92 x 107 cm)",Gift of the artist through the Latin American and Caribbean Fund,290.2009,Painting,Painting & Sculpture,2009-02-11,Y,125438,http://www.moma.org/collection/works/125438,http://www.moma.org/media/W1siZiIsIjE4MjEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0895c7e4e9a44018,,,,92.0,,,107.0,,
Untitled,Unknown photographer,8595,"",(),(0),(0),(),1929-32,Album of 467 gelatin silver prints,"11 × 15"" (27.9 × 38.1 cm)",Gift of Peter J. Cohen,890.2010.10,Photograph,Photography,2010-10-07,N,174455,,,,,,27.9400558801,,,38.1000762002,,
Headpiece (page 37) from The Fables of Aesop,Thomas Bewick,542,"(British, 1753–1828)",(British),(1753),(1828),(Male),1818,Wood engraving from an illustrated book with 323 wood engravings and one etching and engraving,"composition: 2 5/16 × 3 1/8"" (5.8 × 8 cm); page (irreg.): 8 1/4 × 5 5/16"" (21 × 13.5 cm)",The Louis E. Stern Collection,680.1964.38,Illustrated Book,Drawings & Prints,1964-10-06,Y,21193,http://www.moma.org/collection/works/21193,http://www.moma.org/media/W1siZiIsIjE3NzIxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81f884344f768816,,,,5.8,,,8.0,,
Fabled Brute,Uche Okeke,47956,"(Nigerian, 1933–2016)",(Nigerian),(1933),(2016),(Male),1959,Lithograph,"composition: 7 15/16 × 5 11/16"" (20.2 × 14.5 cm); sheet: 9 15/16 × 7 1/2"" (25.2 × 19 cm)","Larry Aldrich Fund, gift of Ralph E. Shikes, gift of Robert Motherwell (all by exchange)
","13 x 10"" (33 x 25.4 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2517.2005,Drawing,Drawings & Prints,2005-05-10,Y,96799,http://www.moma.org/collection/works/96799,http://www.moma.org/media/W1siZiIsIjEyMjE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d77067877cf4307,,,,33.0201,,,25.4001,,
Mrs. A.S. (Frau A.S.),Emil Nolde,4327,"(German, 1867–1956)",(German),(1867),(1956),(Male),(1913),Lithograph,"composition (irreg.): 26 3/8 x 14 15/16"" (67 x 38 cm); sheet (irreg.): 29 x 21 15/16"" (73.7 x 55.8 cm)",Purchase,343.1941,Print,Drawings & Prints,1941-01-16,Y,67299,http://www.moma.org/collection/works/67299,http://www.moma.org/media/W1siZiIsIjExNDgxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9dc0f243f2cafa4,,,,67.0,,,38.0,,
San Juan Capistrano (Doorway),Glenn A. Davis,27660,"",(),(0),(0),(Male),1900-61,Gelatin silver print,"13 1/2 × 10 1/2"" (34.3 × 26.6 cm)",Gift of James Thrall Soby,363.1961,Photograph,Photography,1961-11-08,N,51788,,,,,,34.3,,,26.6,,
"Ron Bacardi y Compania, S.A., Administration Building, project, Santiago, Cuba, Floor plan",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1957-60,Pencil on note paper,"6 x 8 1/4"" (15.2 x 21 cm)","Mies van der Rohe Archive, gift of the architect
Cancer is Curable If Treated Early,Leo Lionni,3562,"(American, born Amsterdam. 1910–1999)",(American),(1910),(1999),(Male),1950,Silkscreen,"8 1/2 x 11"" (21.6 x 27.9 cm)",Gift of the American Cancer Society,523.1954.5,Design,Architecture & Design,1954-09-30,Y,7390,http://www.moma.org/collection/works/7390,http://www.moma.org/media/W1siZiIsIjIxMTYxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1796aa329b942449,,,,21.6,,,27.9,,
Higher Instruction (Hohe Unterweisung) from The Dead Day (Der tote Tag),Ernst Barlach,335,"(German, 1870–1938)",(German),(1870),(1938),(Male),"(1910-11, published 1912)",One from a portfolio of twenty-seven lithographs,"composition: 6 5/16 x 8 3/4"" (16.1 x 22.2 cm); sheet: 20 1/16 x 26 3/16"" (51 x 66.5 cm)",Transferred from the Museum Library,563.1949.6,Print,Drawings & Prints,1949-09-29,Y,108863,http://www.moma.org/collection/works/108863,http://www.moma.org/media/W1siZiIsIjEyMDAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c43f75db9a3f8d59,,,,16.1,,,22.2,,
"Le Mirliton, no. 47",Heidbrinck,47937,"",(),(0),(0),(),May 1888,Journal with relief halftone illustration,"page (each): 10 13/16 x 7 3/16"" (27.5 x 18.2 cm)",Grace M. Mayer Bequest,595.1997.47,Periodical,Drawings & Prints,,N,183648,,,,,,27.5,,,18.2,,
